Clusters,Covariance Type,GMM Time (sec),GMM Silhouette Score,GMM VRC,GMM Davies-Bouldin Index,GMM AIC,GMM BIC,GMM Log-Likelihood Score
2,full,13.750629663467407,0.1590663262756907,4620.383236734884,4.204557095828233,688605.6637418114,693649.0306112613,-2.140295658191169
2,tied,2.74999737739563,0.5911429575275776,127260.02098959027,0.7767182158343324,5087333.468451371,5090069.869485489,-15.833760197133092
2,diag,6.4834067821502686,0.1591415581201519,4624.97262089813,4.2029303434085366,1057767.3253276458,1058616.2088601275,-3.292008782014822
2,spherical,4.965868234634399,0.40215358194455425,62636.57249330811,1.536393739069497,8328687.740298441,8329137.149227401,-25.924627687988124
3,full,21.279582023620605,0.18833962689718697,15417.39024486824,6.62398289737851,-1392818.9585415146,-1385248.9148047958,4.340180159936484
3,tied,7.94050931930542,0.45575954353991,95982.97879975512,0.9399596948002937,4993392.743770726,4996348.85583678,-15.54121167075697
3,diag,5.779168367385864,0.15080919533321108,8229.857425978964,7.347601178952793,-1602925.8737009058,-1601647.5549696393,4.990263005587047
3,spherical,3.173842430114746,0.2860425319983545,94257.74993654907,1.4974860580155305,7585935.28886645,7586614.395692435,-23.612500976979693
4,full,34.0007643699646,0.1513175271662372,11743.875732925293,6.146583203503851,-1517117.2727707475,-1507020.5521667597,4.728661568348412
4,tied,9.207408428192139,0.4373252743097672,78790.18555997452,1.1080009139718707,4900030.336472921,4903206.159570911,-15.250463286890206
4,diag,8.850931406021118,0.16592560313886087,9027.205487701945,6.600541009110756,-2356024.742617796,-2354316.988687745,7.334719769589295
4,spherical,3.629173755645752,0.2736139032309477,81876.00135870223,1.2207928036564233,7080562.96922629,7081471.773949299,-22.039273145365122
5,full,55.366379261016846,0.059531057094406356,8061.292034216514,7.870449405823853,-2639896.594768053,-2627273.1972967964,8.225138966849652
5,tied,11.547138690948486,0.3056435555446662,78112.04087851605,1.2888901546806317,4884623.461172778,4888018.995302705,-15.20236897352559
5,diag,15.673167943954468,-0.01765208259463136,6300.7341275791305,6.4534253158781585,-3461905.1554232226,-3459767.9662943864,10.777288180435976
5,spherical,4.997268915176392,0.2812689912036992,81875.20079645893,1.2098175329513012,6847744.796187844,6848883.298807878,-21.31443120004185
6,full,60.429396629333496,0.045627435509312815,9033.213485959512,6.585682770091282,-3294617.596589335,-3279467.5222508092,10.264679907954674
6,tied,14.014612674713135,0.3104189153645273,72083.80869303909,1.1332505378505462,4824323.852110887,4827939.09727275,-15.014535961647773
6,diag,13.4964599609375,-0.007677986419130801,6011.9036344206725,7.203013349942572,-3783509.5841363133,-3780942.9598086923,11.7786217608566
6,spherical,7.5322229862213135,0.1734161019887735,70412.27864587354,1.5605713789365663,6670238.003616063,6671606.204133121,-20.76175832689849
7,full,81.74579882621765,-0.02854015232510929,13037.987147893513,5.333812967246061,-4279355.970204762,-4261679.218998968,13.33147390667045
7,tied,26.226007223129272,0.05797471429943548,35696.75827232297,2.5162005876272637,3102056.933799666,3105891.8899934655,-9.65345709669885
7,diag,14.737865924835205,0.03782518899516271,7926.494281395383,6.230978984307788,-4003265.9340013517,-4000269.874474946,12.46293036213854
7,spherical,9.08048677444458,0.1798808895131934,66944.15336849431,1.5301072547179762,6562764.77590346,6564362.674317542,-20.42708062548157
8,full,96.05423355102539,0.04496941685752507,7024.479552203546,7.096722822073319,-3558215.0534829735,-3538011.62540991,11.088336166378138
8,tied,30.63509178161621,0.09454352006751933,41778.671901368965,2.2663020385987647,3105542.472560326,3109597.139786062,-9.664169657663608
8,diag,16.112839460372925,-0.05636068130389539,6928.845143930414,5.452353981069981,-4442344.578303346,-4438919.083578155,13.829928775589227
8,spherical,5.4173102378845215,0.16943473332754838,60153.84376798144,1.5224910184876488,6455384.623994699,6457212.220305806,-20.092692643371137
9,full,112.11384987831116,-0.009285035103215657,13154.497242197227,5.763132654306528,-4523629.802642206,-4500899.697701873,14.094981051734116
9,tied,61.83023715019226,0.01884929303868536,18278.747858813487,3.0758229403294823,2619828.517346553,2624102.8956042253,-8.152139118061125
9,diag,23.5501651763916,-0.059955141754255904,13067.564211053263,4.5329956975749734,-4916286.326056113,-4912431.396132137,15.305446414627664
9,spherical,8.502068519592285,0.1318822841583374,54829.894830579426,1.706814227936282,6368261.110361474,6370318.404569605,-19.821357989309266
10,full,140.53041410446167,-0.022500236601561658,9846.249071268292,5.557589942767202,-4776152.363259662,-4750895.5814520605,14.882589174130965
10,tied,86.1268801689148,0.036747447932531534,22173.331286060653,2.8070342306991978,2622221.5402771086,2626715.6295667174,-8.159450978569232
10,diag,29.025673627853394,-0.021320316213368207,12364.555365868257,5.508373786281915,-4645010.5237442,-4640726.15862144,14.461307355816126
10,spherical,10.164093971252441,0.12339898322844398,49737.8839450332,1.6921490453926207,6291532.885680799,6293819.877785956,-19.582381002673205
