Clusters,Time (sec),Iterations,Silhouette Score,Sum of Squared Distances,Variance Ratio Criterion,Davies-Bouldin Index
2,0.06200885772705078,1,0.39715741622588197,88389.72025628388,4591.169304131421,1.5071236883261823
3,0.10601019859313965,3,0.3016974837229672,71761.94723781673,4370.718422007006,1.4251129154754032
4,0.11615586280822754,3,0.1733011519167149,65761.97284903616,3587.0533732567396,1.6596363488402521
5,0.059998273849487305,1,0.2402654565478165,59554.427448590504,3328.159672286994,1.5156137401287064
6,0.06400203704833984,1,0.20515838444257406,56673.32510988364,2916.2687263955586,1.536399704926014
7,0.11564135551452637,3,0.16611260871685993,52453.89888023024,2818.218173843639,1.7219359214960208
8,0.11024260520935059,3,0.15249015885615136,48629.9487442314,2755.1558679592154,1.6456679227626925
9,0.09547019004821777,2,0.15001127620844718,46378.50534209379,2606.914266531272,1.625049311927637
