Clusters,Time (sec),Iterations,Silhouette Score,Sum of Squared Distances,Variance Ratio Criterion,Davies-Bouldin Index
2,0.29396748542785645,1,0.5902952192566243,2668708.735495828,127740.26774998628,0.785379082432768
3,0.06850719451904297,1,0.3313292893504314,2149892.503130324,98853.65908627423,1.3756660573521182
4,0.07453179359436035,1,0.29018895089224434,1751873.2293154213,92992.49516005043,1.195184633866761
5,0.06800246238708496,1,0.29039052001840054,1535416.3605186178,85144.48512546266,1.190630299469554
6,0.47557830810546875,1,0.19956065622608413,1455564.319918327,73585.08880454375,1.4767331131159083
7,0.4643137454986572,1,0.20186000974144325,1340312.1990402,68895.63939343343,1.4007788431383095
8,0.06600785255432129,1,0.13337710408520279,1443833.8852743243,53292.55197907187,2.1057303255196698
9,0.08506584167480469,1,0.1322822331416369,1340640.5777715817,51759.649008465545,2.0281423741352587
